Cameras as of 2025-05-05,,,,,,,,,,,
Server Name,Device Name,IP Address,Model,MAC Address,switch/port,Firmware Version,Serial Number,Bitrate,Resolution,Quality,Image Rate
Byng Campus East NVR (201),"Koller Gym Ext W, view 2 (201.39)",10.10.201.39,24C-H4A-3MH-270,00:18:85:36:38:D0,,4.36.0.26(fe36bbcb),1.02105E+11,4520,3840x2160,6,12
Byng Campus East NVR (201),"Koller Gym Ext W, view 1 (201.39)",10.10.201.39,24C-H4A-3MH-270,00:18:85:36:38:D0,,4.36.0.26(fe36bbcb),1.02105E+11,7224,3840x2160,6,12
Byng Campus East NVR (201),Admin Ext Front (201.40) (3 views),10.10.201.40,24C-H4A-3MH-270,00:18:85:36:3A:59,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Admin Ext Front, view 1 (201.40)",10.10.201.40,24C-H4A-3MH-270,00:18:85:36:3A:59,,4.36.0.26(fe36bbcb),1.02105E+11,12000,3840x2160,6,12
Byng Campus East NVR (201),"Admin Ext Front, view 2 (201.40)",10.10.201.40,24C-H4A-3MH-270,00:18:85:36:3A:59,,4.36.0.26(fe36bbcb),1.02105E+11,11936,3840x2160,6,12
Byng Campus East NVR (201),"Admin Ext Front, view 3 (201.40)",10.10.201.40,24C-H4A-3MH-270,00:18:85:36:3A:59,,4.36.0.26(fe36bbcb),1.02105E+11,11952,3840x2160,6,12
Byng Campus East NVR (201),Ag Ext NE (201.41) (3 views),10.10.201.41,24C-H4A-3MH-270,00:18:85:36:3F:AB,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Ag Ext NE, view 1 (201.41)",10.10.201.41,24C-H4A-3MH-270,00:18:85:36:3F:AB,,4.36.0.26(fe36bbcb),1.02105E+11,4888,3840x2160,6,12
Byng Campus East NVR (201),"Ag Ext NE, view 2 (201.41)",10.10.201.41,24C-H4A-3MH-270,00:18:85:36:3F:AB,,4.36.0.26(fe36bbcb),1.02105E+11,8872,3840x2160,6,12
Byng Campus East NVR (201),"Ag Ext NE, view 3 (201.41)",10.10.201.41,24C-H4A-3MH-270,00:18:85:36:3F:AB,,4.36.0.26(fe36bbcb),1.02105E+11,4544,3840x2160,6,12
Byng Campus East NVR (201),Koller Gym Ext S (201.42) (3 views),10.10.201.42,24C-H4A-3MH-180,00:18:85:36:3F:E9,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Koller Gym Ext E, view 1 (201.42)",10.10.201.42,24C-H4A-3MH-180,00:18:85:36:3F:E9,,4.36.0.26(fe36bbcb),1.02105E+11,5528,3840x2160,6,12
Byng Campus East NVR (201),"Koller Gym Ext E, view 2 (201.42)",10.10.201.42,24C-H4A-3MH-180,00:18:85:36:3F:E9,,4.36.0.26(fe36bbcb),1.02105E+11,7336,3840x2160,6,12
Byng Campus East NVR (201),"Koller Gym Ext NE, view 2 (201.42)",10.10.201.42,24C-H4A-3MH-180,00:18:85:36:3F:E9,,4.36.0.26(fe36bbcb),1.02105E+11,5120,3840x2160,6,12
Byng Campus East NVR (201),Band Ext SE (201.43) (3 views),10.10.201.43,24C-H4A-3MH-270,00:18:85:36:40:56,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Band Ext SE, view 3 (201.43)",10.10.201.43,24C-H4A-3MH-270,00:18:85:36:40:56,,4.36.0.26(fe36bbcb),1.02105E+11,7752,3840x2160,6,12
Byng Campus East NVR (201),"Band Ext SE, view 1 (201.43)",10.10.201.43,24C-H4A-3MH-270,00:18:85:36:40:56,,4.36.0.26(fe36bbcb),1.02105E+11,5048,3840x2160,6,12
Byng Campus East NVR (201),"Band Ext SE, view 2 (201.43)",10.10.201.43,24C-H4A-3MH-270,00:18:85:36:40:56,,4.36.0.26(fe36bbcb),1.02105E+11,8368,3840x2160,6,12
Byng Campus East NVR (201),Athletics Ext NE (201.44) (3 views),10.10.201.44,24C-H4A-3MH-180,00:18:85:36:44:EC,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Athletics Ext NE, view 1 (201.44)",10.10.201.44,24C-H4A-3MH-180,00:18:85:36:44:EC,,4.36.0.26(fe36bbcb),1.02105E+11,5336,3840x2160,6,12
Old,"Athletics Ext NE, view 2 (201.44)",10.10.201.44,24C-H4A-3MH-180,00:18:85:36:44:EC,,4.36.0.26(fe36bbcb),1.02105E+11,10192,3840x2160,6,12
Byng Campus East NVR (201),"Athletics Ext NE, view 3 (201.44)",10.10.201.44,24C-H4A-3MH-180,00:18:85:36:44:EC,,4.36.0.26(fe36bbcb),1.02105E+11,8776,3840x2160,6,12
Byng Campus East NVR (201),Athletics Ext SE (201.45) (3 views),10.10.201.45,24C-H4A-3MH-180,00:18:85:36:44:F5,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Athletics Ext SE, view 1 (201.45)",10.10.201.45,24C-H4A-3MH-180,00:18:85:36:44:F5,,4.36.0.26(fe36bbcb),1.02105E+11,10456,3840x2160,6,12
Byng Campus East NVR (201),"Athletics Ext SE, view 2 (201.45)",10.10.201.45,24C-H4A-3MH-180,00:18:85:36:44:F5,,4.36.0.26(fe36bbcb),1.02105E+11,8144,3840x2160,6,12
Byng Campus East NVR (201),"Athletics Ext SE, view 3 (201.45)",10.10.201.45,24C-H4A-3MH-180,00:18:85:36:44:F5,,4.36.0.26(fe36bbcb),1.02105E+11,10080,3840x2160,6,12
Byng Campus East NVR (201),Ag Ext Front (201.46) (3 views),10.10.201.46,24C-H4A-3MH-180,00:18:85:36:52:F1,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Ag Ext Front, view 1 (201.46)",10.10.201.46,24C-H4A-3MH-180,00:18:85:36:52:F1,,4.36.0.26(fe36bbcb),1.02105E+11,6008,3840x2160,6,12
Byng Campus East NVR (201),"Ag Ext Front, view 2 (201.46)",10.10.201.46,24C-H4A-3MH-180,00:18:85:36:52:F1,,4.36.0.26(fe36bbcb),1.02105E+11,4576,3840x2160,6,12
Byng Campus East NVR (201),"Ag Ext Front, view 3 (201.46)",10.10.201.46,24C-H4A-3MH-180,00:18:85:36:52:F1,,4.36.0.26(fe36bbcb),1.02105E+11,8464,3840x2160,6,12
Byng Campus East NVR (201),Band Ext NE (201.47),10.10.201.47,32C-H4A-4MH-360,00:18:85:36:55:88,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Band Ext NE, view 1 (201.47)",10.10.201.47,32C-H4A-4MH-360,00:18:85:36:55:88,,4.36.0.26(fe36bbcb),1.02105E+11,3792,3840x2160,6,8
Byng Campus East NVR (201),"Band Ext NE, view 2 (201.47)",10.10.201.47,32C-H4A-4MH-360,00:18:85:36:55:88,,4.36.0.26(fe36bbcb),1.02105E+11,5960,3840x2160,6,8
Byng Campus East NVR (201),"Band Ext NE, view 3 (201.47)",10.10.201.47,32C-H4A-4MH-360,00:18:85:36:55:88,,4.36.0.26(fe36bbcb),1.02105E+11,5624,3840x2160,6,8
Byng Campus East NVR (201),"Band Ext NE, view 4 (201.47)",10.10.201.47,32C-H4A-4MH-360,00:18:85:36:55:88,,4.36.0.26(fe36bbcb),1.02105E+11,6048,3840x2160,6,8
Byng Campus East NVR (201),Ag Shop (201.48),10.10.201.48,8.0C-H5A-FE-DO1-IR,00:18:85:38:F3:EF,,4.86.0.22(665d8b48),1.02108E+11,4016,2048x2048,6,15
Byng Campus East NVR (201),Koller Gym Ext Entry East (201.49),10.10.201.49,6.0C-H5A-DO1-IR,00:18:85:36:9C:B8,,4.86.0.20(7a7d6563),1.12105E+11,5648,3200x1800,6,15
Byng Campus East NVR (201),Koller Gym Ext Entry West (201.50),10.10.201.50,6.0C-H5A-DO1-IR,00:18:85:36:9C:E0,,4.86.0.20(7a7d6563),1.12105E+11,5256,3200x1800,6,15
Byng Campus East NVR (201),Ag Classroom (201.51),10.10.201.51,3.0C-H4M-D1-IR,00:18:85:36:A8:FF,,4.14.0.116(34384),1.12105E+11,1320,2048x1536,6,10
Byng Campus East NVR (201),Athletics Alt Ed (201.52),10.10.201.52,6.0C-H5A-D1-IR,00:18:85:3B:B2:49,,4.86.0.20(7a7d6563),1.02112E+11,3368,3200x1800,6,15
Byng Campus East NVR (201),Ag Animal Area (201.53),10.10.201.53,4.0C-H5A-D1-IR,00:18:85:3D:0E:37,,4.86.0.20(7a7d6563),1.02201E+11,4424,2560x1440,6,10
Byng Campus East NVR (201),Band Ext NW (201.55),10.10.201.55,24C-H4A-3MH-180,00:18:85:52:DD:3C,,4.36.0.26(fe36bbcb),3.02404E+11,,,,
Byng Campus East NVR (201),"Band Ext NW, view 1 (201.55)",10.10.201.55,24C-H4A-3MH-180,00:18:85:52:DD:3C,,4.36.0.26(fe36bbcb),3.02404E+11,3280,3840x2160,6,12
Byng Campus East NVR (201),"Band Ext NW, view 2 (201.55)",10.10.201.55,24C-H4A-3MH-180,00:18:85:52:DD:3C,,4.36.0.26(fe36bbcb),3.02404E+11,2368,3840x2160,6,12
Byng Campus East NVR (201),"Band Ext NW, view 3 (201.55)",10.10.201.55,24C-H4A-3MH-180,00:18:85:52:DD:3C,,4.36.0.26(fe36bbcb),3.02404E+11,3952,3840x2160,6,12
Byng Campus East NVR (201),Bus Barn (201.61) (3 views),10.10.201.61,24C-H4A-3MH-270,00:18:85:36:3D:29,,4.36.0.26(fe36bbcb),1.02105E+11,,,,
Byng Campus East NVR (201),"Bus Barn, view 2 (201.61)",10.10.201.61,24C-H4A-3MH-270,00:18:85:36:3D:29,,4.36.0.26(fe36bbcb),1.02105E+11,8912,3840x2160,4,12
Byng Campus East NVR (201),"Bus Barn, view 1 (201.61)",10.10.201.61,24C-H4A-3MH-270,00:18:85:36:3D:29,,4.36.0.26(fe36bbcb),1.02105E+11,2392,3840x2160,6,12
Byng Campus East NVR (201),"Bus Barn, view 3 (201.61)",10.10.201.61,24C-H4A-3MH-270,00:18:85:36:3D:29,,4.36.0.26(fe36bbcb),1.02105E+11,2280,3840x2160,6,12
